ID	Date	user_id	comments
13	June 30, 2000 7:11PM	liufei	"The nissan commercial with the pigeon squadron bomb a nissan from a few years back.... I always got a knack when the pigeon said ""mayday"" at the very end...."
14	June 30, 2000 7:53PM	fezo	"I'll hate myself for asking, but what do people think of the Toyota ""TV guy"" ads?

There's a couple with some cute touches but in general they are really annoying!"
15	June 30, 2000 8:00PM	bdreggors	"Yeah, shouldn't he have a gold-plated Olds?

I thought those Century commercials with the ""Buick Guy"" were good. Made me laugh on a few occasions.

The Nissan Frontier ads with that Jerry guy were pretty stupid. ""Putting 4 real doors on a compact pickup was a no-brainer."" Four huge doors and a huge cabin yet a Sliverado extended-cab has more room...It just proves that Nissan designers have no brain!

The Toyota Avalon commercial struck me as really annoying. ""Do you really need 64 crayons in a box?"" Do we really need another bad Toyota spot?"
16	June 30, 2000 8:14PM	teo	"I absolutely dislike:

* Acura commercials (They used to be good way back
in the late 80's)

* Cheap Ford Commercials (South Florida Ford dealers)

* All Toyota ads

* Nissan commercials (Specially the Xterra and Maxima) The annoying ""Cars like it ====?"""
17	June 30, 2000 9:34PM	kevm14	"I happen to get a big kick out of those Maxima ads. Too many people are unconcerned about performance, which the Maxima serves to improve upon in the mid-size sedan segment. I drive a 96 SE 5-speed myself, so when I see all the speed references, handling references, braking, mileage, or what have you, I know it's real.
And when it says cars like it - 0, well, how many midsize 5-speed sedans are there that come completely loaded, and even 17 inch wheels for under $30k (SE)? (well under $30k)
That's my point. yeah, there are plenty of cars like the GXE - I happen to hate the GXE (or really the fact that people bought it over the SE!!).
And this I can say - if you drove a 2000 SE (or even a 95-99 SE) and didn't like it, that doesn't mean the car isn't good. It probably means you do not value performance at all (did you drive to the dealer in a 4 cylinder camry or accord, by any chance?)"
18	June 30, 2000 10:55PM	bdreggors	"I think that the Maxima is a good car, but I walked away with a Regal GS. That sucker can MOVE with the supercharger! I'd say that those cars are each other's only real competition. I definetly respect the Max...

Well, now that I've plugged Buick, I'll move on.

Toyota seems to have made only a few good ads (like the 'Everyday' ones), one of which was where the guy who's busy with everything gets out of his Corolla and falls down the open manhole.

I also love the Mercedes S-Class commercial where the Mercedes people are hallmarking the COMAND system; i.e. ""if you are lost, we'll find you directions."" The last part was where a Mercedes guy said ""if you forget your wife's anniversary present...your screwed!"" I laughed a lot at that one."
19	July 1, 2000 4:46AM	markz2k	"I know exactly what you mean about the carls jr. ads. I used to go there at least 3 times a week before they started the sloppy/gross ads several years ago. I haven't been to a Carls for at least 3 years, and they're all over the place here in Irvine. Co-workers hate it if I drive to lunch cause I won't go there. (And won't go with them if that's where they're going!)Won't go to Taco Bell either, those commercials are probably even more annoying than the carls ones.

I actually emailed a comment to carls from their site once a few years back. I got a reply from someone in marketing who was pleasant about the issue, but basically said we're happy to lose a few hundred/thousand customers who don't like the ads to gain the several thousand that do like them.

And then there's the ULTRA-ANNOYING ads for Cerritos Auto square with jim varney (the Hey, Vern guy) That idiot is the only reason I need to never come close to shopping there. Yes, they got me to remember the name of their shopping center with the obnoxious ads, but they also got me to remember the ads are so obnoxious that I will avoid shopping there at all costs!"
20	July 1, 2000 11:38AM	rickabt	"Jim Varney died last year from cancer, but he still appears in commercials for this area's largest Chevrolet dealership ... rest his soul!

I've heard that he has appeared in commercials for many dealerships all across the country. I thought there was a law saying that spokespeople should use the product or service offered by the company they advertise ... Jim Varney must have a lot of cars, I guess.

I never understood the appeal of Jim Varney for a car dealership unless the dealer wanted to stimulate a response from people with bad credit.

Fran Tarkenton also speaks for a subprime-level (caters to sufferers of bad credit) lending institution called Bar None ... does that mean that Fran's financing his car at 21% interest, too?"
21	July 1, 2000 11:55AM	rickabt	"Ever since VW's catchy quirky ads have met great success, several other car manufacturers have hired similar-minded ad agencies to appeal to my age group. For example...

1.) Ford Focus hatchback ad where the fashionable young passengers exit through the hatch while the Pet Shop Boys sing ""I know it's gonna be alright.""

2.) Toyota Echo ad which features the slogan ""Is there an echo out there?"" Lotsa techno music in the background and idiot-with-Mac airbrush graphics ... this is just like the ""Turbonium"" spots from VW. Ever since the Jetta wiperblade-synchronicity spot, there has been a lot of techno music on TV ads.

3.) Toyota RAV4 commercial which features the song ""What Do I Get?"" by the Buzzcocks. C'mon, Toyota ... what's next from you? Johnny Rotten singing ""I am an anarchist/I am an antichrist!"" while revving up a Celica GT-S? Punk rock has no place in selling Toyotas!!! In the early 90's, Subaru tried to use punk rock to catch on with young buyers (""Defiant and different ... like punk rock, but it's a car!"") but this failed as well.

4.) Acura commercial featuring a collage of images and the slogan ""Engineering is our art."" The song used as the background is from a great little-known Boston band called Galaxie 500. I guess the rights to Galaxie 500 songs sell for far less than rights to well-known major-label artists. Good thinkin'! Save money! Sadly, this triumph in tasteful musical direction was followed up poorly by the lazy ""Key Largo"" CL coupe commercials. That song is so vapid and slow, it makes me think that the car is just as slow!"
22	July 1, 2000 1:13PM	markz2k	"Speaking of VW, remember their slogan in the early '80's? I do, and they were 100% correct. ""It's not a car. It's a Volkswagen."" Apparently, based on my 1980 Rabbit, the definition of Volkswagen is ""unreliable POS that spends virtually all of it's life at the dealer, starting one month after the warranty ends.""

Bitter, who me?"
23	July 1, 2000 2:30PM	pjyoung	"I can't stand the local ads (especially on radio). We've got two dealers in KC (both Chevrolet dealers) who offer the fast talking disclaimer that nobody can understand. They scream their ads, and they've offered the following.

1. $99 down, $99 dollars a month. They spend the whole ad touting this, then the fast talking starts and the ""example"" is a 2000 Cavalier with 3 payments of $99 and 57 payments of $350. What happens when the idiots who fall for this suddenly realize it's NOT really $99? Well, we have ad number 2:

2. Big Repo sale. Like new cars with used car pricing. Negotiation will not be necessary - the prices on the windows are rock bottom.

3. Then they have the Blazer ads, where the deals are for GM employees only.

4. The latest ads are the ""you waited"" as in, we said $99 a month, but YOU WAITED. We had a REPO SALE but YOU WAITED, We had Blazers for $4,000 off, but YOU WAITED. NOW - NO REASONABLE OFFER WILL BE REFUSED. Of course, they don't say what a reasonable offer is.

I hate these ads."
24	July 1, 2000 8:26PM	wenyue	"Lexus, unlike their cheaper Toyota breathern, seems like alway make good commericals.

I like the IS300 commerical where the guy black mail the boss. Like the ES300 commmerical with a guy driving around a glass building trying to charm himself (like the music especially). GS commericial with the guy messing up his shirt and putting on lipstick trying to fool his wife....

Toytoa could learn a thing or two from Lexus commericals."
25	July 4, 2000 6:54PM	andrew21	"The Viper one w/ ""Magic Carpet Ride"" playing. I'm no Viper fan, but I thought that one was fun to watch.

Other than that and a few that I mentioned before, I really don't have many opinions on car commercials because 99% are so forgettable. If you asked me 10 minutes after I watched one, I just wouldn't be able to recall the model or even the manufacturer. Yawn."
26	July 5, 2000 11:41PM	fezo	I don't know - I suppose you are right for the most part, but it just strikes me that Toyota has consistantly annoying commercials. Now if they advertised cars like they do beer, you could tell something from the ads. My personal observation there is the worse the beer the better the commercial.
27	July 6, 2000 5:10AM	jimveta	"These are some I like just because they look cool:

- The Chevy Tahoe ads for the previous model year
(I haven't seen anyone for the new ones); the
series with the morphing nature scenes, the
adventures percussive music, and ending with
the guy's deep voice ""..like a rock"". i thought
the whole series was beautiful and sort of ""awe
inspiring""

- Tundra commercial where it starts out with just
its frame and wheels on a desert flat, and as
it moves alongside various vehicles and a train,
all the parts fall from the sky to come and
assemble together to form the truck. reminds
me of the borg somehow

- VW's Vapor color beetle commercial.. just seemed
really laid back, cool, relaxing ..

- A single dodge ram commercial of it rotating on
a pedastal, morphing into different
configurations, representing it's uses with
various company logos on the truck and such..
probably strange of me to like it, but i think
it was the style.. simple, concise message, and
good deep, moving non-cheesy music.

- BMW commercials i think it was the 3-series..
just it carving the corners, intermittent
messages, no talking, good pumping techno."
28	July 7, 2000 1:25AM	dbakalar	"The VW commercials of late are by far my favorite. I like the one from a few years back w/ the two guys tooling around town, pick up the ratty looking recliner chair, only to stare at each other and set it back out on the curb. My all time favorite is the ""Mr. Robato"" commercial for the new Golf. Only because I have been guilty of doing the same thing in my '99 Golf.

Nissan Maxima commercials are cool only because of the cool music. The cars themselves are ugly as sin.

Stupidest commercials I've seen yet belong to Hyundai. A stage diving Hyundai, and the one with the guy sunbathing in his car, next to the pool, on TOP of a highrise building. Give me a break."
29	July 7, 2000 1:41AM	vqzhtr	"Like em
1) Any of the 2000 Maxima, Xterra, and Pathfinder commercials (with out the Jerry Guy). The Maxima commercials because of the upbeat music, the desert shots and because you get to focus on the car and not have to see or listen to some people in the background who you don't really care about or really have nothing to do with the commercial.

The Xterra ads because of the cool rugged shots and the Lenny Kravitz song. The Pathifinder commercial that was cool was the one where a whole bunch of Pathfinders are playing polo, that must have been hard to coordinate.

I also like the old commercials with the Z and Barbie doll and the birds chasing the Maxima.

2) The 1999 and 2000 Infiniti commericials although they may be forgettable. I think they bring more sense of luxury than most of the other luxo companies.

3) The BMW X5 commercials. They seem kind of corny with those people jumping in the creek, but I love those shots of the X5 in the woods.

4)Lexus commercial when the cop and and the owner of the RX switch places.

5) The Jaguar S-Type commercial (not the new one)

6) The VW Beetle Vapor commercial and The Jetta Commercial when the guy saves his car from the shopping cart.

7)The GrandAM commercial where the car is driving through that computerized city.

Very Funny and Hate em:
1) The Acura commercials I gotta change the channel every time I see the key in the ignition. Key largo? I thought they were suppose to inflict luxury what the hell does driving through a dump in New Orleans have to do with luxury.

2) The Honda commercial with Accord ""Going on Vacation"" it's so stupid it's funny. I don't like those commercials with the Oddy and the Dogs either makes no sense whatsoever.

3)The Saturn LS commercials. First the one where the guy in the Accord gets scared of the LS and then at the end they call it a peformance sedan HEHE me and my friends were craking up for weeks. The second one where the guy in the office says he bought a luxury car and then a saturn LS shows up. Funny again.

4)The Crazy VW Cabrio commercial thats 5 minutes long.

5)Those Mitsubishi commercials cause their all in black and white.

and Finally Toyota Commercials All boring and dumb just like the company. Don't get me started on their local ads either, I could have sworn in one of them the 4runner was going to tip over a cliff and fall."
30	July 7, 2000 1:47PM	bdreggors	"The Good:
-That 2000 GMC commercial where the Yukons drive around in formation. I love that music! Here's a tip for all the car companies out there: Formation driving gets attention!

-The new Dodge commercials, where all the cars are graced with rebates, except the Viper. It's weird, but cool.

-Cadillac DeVille and Seville commercials. Nice cohesion between graphics and sounds.

-Saturn LS comemrcial with the crazy Accord guy. I don't like it for the Saturn, but because I know that half of all drivers can relate to that guy, talking to themselves and secretly challenging others to races when they try to pass.

and a few from awhile ago...
-Mercedes M-CLass commercial from a few years ago featuring the singing baby. That ranks among my personal top ten!

-Buick full-line commercial with that ""Real Car"" ballad. It was kind of long, but good. At the beginning it showed a minivan and the voiceover, ""Is that a car? That ain't no car."" and then an SUV, ""Is THAT a car? Not a real car..."". So true...

The Bad:
-Infiniti I30 commercial. Not really a bad commercial, but it highlights the retractable sunshade. Not really an engineering breakthrough!

-Suburu Outback sedan commercial saying that the sedan has a ""decidedly uptown look"". Huge foglights, giant spoiler...doesn't bring Times Square to my mind.

-95% of all Toyota commercials. Just horrible. People would look at a Camry instead of an exploding building? The overused metaphoric tripe in the Avalon commercial? Someone actually taking a 4Runner off-road? These are hillarious...unfortunetly, that's not their aim.

And the Annoying:
-The absolute, most annoying commercial, EVER:
The current MY TOYOTA sale ads. It is the absolute worst ever. The song will drill into your head and stay there!

I don't know if these are playing anywhere else in the country, but in Tampa, Florida, we are being barraged by these ads. I turn on the radio: MY TOYOTA! I turn on the TV: MY TOYOTA! Finally, the sale was over...but wait; Turn on the TV and MY TOYOTA! Its been extended! Now I know how Noriega felt..."
31	July 7, 2000 3:09PM	fezo	"""Now I know how Noriega felt...""

Yes! Exactly!! Hee hee..."
32	July 7, 2000 6:31PM	ickes	"1. Nissan Maxima on the dry lake bed with the jet engine sound in the background.

2. VW Passat Wagon w/ the that cookie is still good under the 5-second rule.

Also like the Lincoln LS cut-less commercial with ""WOOD, LEATHER."""
33	July 7, 2000 11:25PM	dbakalar	"Ford Focus coffee drinking, rail road crossing... ""Dude. Dude. Dude. Dude. Dude. DUDES!)"
34	July 10, 2000 9:55PM	denniswade	"The entire VW campaign. They're minimalist, funny, memorable and they all present a characteristic or benefit of the car in an entirely positive way. The Cabrio ad is my favorite of all -- it absolutely captures the magic of driving a convertible in the moonlight. Maximum cool!!!

I drive a Toyota (matter of fact, so does my wife and daughter), but I'm witchoo on the ads -- they stink, except for the Tundra ads, which are pretty cool -- especially the one with the big dumpster trying to parallel park.

The original GS ads (""Something wicked this way comes"") were masterful in their attempt to dissassociate the car from its put-me-to-sleep Lexus brethren, and the new GS ad with the girl who wants a ""nice caring buy who reads poetry and isn't afraid to pick a flower"" then sees her REAL blind date, is pretty cool too. But the new IS print ads with the weirdo is just dumb. Saatchi and Saatchi needs some new talent........"
35	July 10, 2000 11:21PM	rcarboni	"The Bad:

1. The two women fighting for a parking spot in their SUVs. Bad image portrayal and how many Kias did they wreck shooting that one?

2. The Lexus guy looking at his reflection while driving. Now I have associated Dork and Lexus as meaning the same thing.

3. ""Wider is Better"". Concept is Stupid.

4. Cadillac Catera. The caddy that ""zigs""??? No wonder Cadillac couldn't sell these things.

5. Honda Odyssey with the dogs. OK......

6. Nissan Maxima. It was kinda cool the first 150 times I saw it. Now I'm sick of the Who, and the Maxima.

7. Subaru Outback with Aussie guy. Ok, they're not that bad, but they are getting old.


The Good:

1. Eskimo describing animal tracks declares ""Audi"" after seeing tire tracks.

2. Jeep Wrangler being ""created"" on the mountain.

3. Tiger Woods Golf School. Has nothing to do with the car, but is good for a laugh.

4. Chrysler 300M showing old commercials of 300 product line.

5. Honda Insight. They should have put this much thought into the Odyssey ad.

6. Jaguar S-type. Great music and images.

7. Mitsubishi image ads. You want to deny it, but you know it's true. You buy because of looks.

8. The new Passat ads that have people remembering their younger days.

9. The Saturn LS. ""That's what I've been saying for years"". Funny stuff."
36	July 11, 2000 12:17AM	bdreggors	"That Paul Hogan guy is making me think that Subaru is AUSTRALIAN!

I liked the older Odyssey ad with the members of the family each being represented by a lawyer that wanted something different in the van. Much better than the Frankenstein dog-men.

I also like the new Silverado ad where the drilling guy asks the younger kid what he did with his truck and the youngster responds by saying ""I just washed it."" The owner drives it through the mud during the voiceover and at the end a coworker says ""Man's gotta protect his image""!

Just an interesting observation about truck commercials:
Silverado: ""The Truck""
Sierra: ""Professional-grade Trucks""
F-150: ""Built Ford Tough""
Ram: ""The Burden of Leadership""

Toyota Tundra: ""Just enough power for you!""

An exercise in modesty or inadequacy?"
37	July 11, 2000 2:17PM	ickes	"Agree with your comment about the ""wider is better"" It is especially stupid since the Intrigue has a wider track than the GP.

I saw the Focud ""dude"" commercial yesterday. VERY ""dud"". Ford is trying too hard to be hip.

Does anyone get Cadillac's new Fusion campaign. Not much sense there. ""Standard of the World"" was better, even though it isn't true anymore."
38	July 11, 2000 2:38PM	freddy_k	"One of my favourates - judged by the fact that I cracked up the first time I saw it - guy parks his Jetta, the sound of a rolling shopping kart, guy runs through the camera and tackles it before it hits the car. I though it was great.

Most annoying: All the new focus commercials playing cheap, cheesy music and people driving the cars all happy and stupid. Makes me ill!"
39	July 11, 2000 9:17PM	denniswade	"You have ""youth marketing"" to thank for that -- kinda like old white guys trying to be ""hip with all that jive""........"
40	July 12, 2000 1:11AM	crkeehn	Any Sesame Street fan will recognize the Honda dogs as the Wegman Weimaraners. They are used on Sesame Street both dressed up as they are in the Honda ad, and forming letters.
41	July 12, 2000 12:50PM	timothyadavis	"And, from Honda's point of view, I think that spells, ""We are selling all the Odysseys we can make as fast as we can make them, so we can do anything we like in the ads because they don't really have to sell the van anyway. So there!""

Personally, I think the ad directors saw a unique opportunity to spend some already-budgeted ad money on their wild and creative whims since the ads didn't really have to get results other than some attention and possibly an ad award (I forget what they're called, Addy maybe?)...."
42	July 12, 2000 4:06PM	crkeehn	"That may well be, but what else can you say about the Odyssey other than I got mine and you didn't, Nah Nah Nah.

Anybody with young children that one would need a van for, probably would be familiar with the Wegman Weimaraners (by the way, I did have to look up the spelling of Weimaraner.) from Sesame Street. As Sesame Street is an illusion, the parental units would make the connection that the Odyssey is also an illusion, most likely those that you think you see on the street are cardboard mockups."
43	July 12, 2000 5:21PM	mhansen1	"Last night, I saw for the first time the ad for the VW Jetta where he parks at the grocery store and walks away; then a shopping carriage comes rolling toward his car and he tackles it so it wont hit the car .... found it hilarious!

I also liked the ads for the Jeep a couple years back. Girl is suntanning on the hood at the top of the cliff while the storm cloud is raining over the overlooking city.

Very annoying plus I do not get it: the Honda Odyessey and the family of dogs ???"
44	July 16, 2000 6:33AM	rickabt	"Following the semantic dissection of the word ""is"" during the Clinton impeachment trial, Cadillac thought they were free to reinvent the word ""and."" They should have realized that the over-analysis of ""is"" was the final straw for many Americans who were growing weary of the entire proceeding, but it is just like General Motors to become preoccupied with aggrandizing trivial minutiae by attempting to add new meaning to words such as ""driver control system.""

Remember the ""Driver Control System"" of the S-10 Blazer three or four years ago? What was that?

The driver steers the Blazer with the steering wheel. The driver propels the car at varying speeds by depressing the accelerator pedal. The driver slows or stops the vehicle by stepping on the brakes. Except for cars specially equipped by driving instructors, what car doesn't have a ""Driver Control System.""

Of course, GM meant that the Blazer had eight available suspensions (of which, I only saw two on the dealership as a Chevy salesman), EVO steering (electrically variable orifice which constricts at higher speeds to restrict the flow of steering fluid), ABS brakes, VORTEC V6, and virtually everything related to the powertrain and safety systems.

Many customers actually seemed to be befuddled by all the suspension choices. It actually seemed to backfire on account of this.

Strangely enough, the ""Driver Control System"" was not mentioned in the GMC Jimmy ads."
45	July 16, 2000 6:45AM	rickabt	"""Wider is better"" has already been mentioned, but what about the Pontiac Gran Am's ads which tout the vehicle's ""Solid-Form Contruction.""

Is that what makes Pontiacs so different?

If I'm not mistaken, steel has undergone a phase change by the time it is forged. It was indeed a liquid at one time.

""Stabilitrak 2.0"" is another pompous pile of B.S. How many consumers will ever understand the different components of this not-so-unique system? As an automotive sales professional, it is my job to become familiar with the features of competitive vehicles, but I will choose to ignore ""Stabilitrak."" I suspect that the entire TV-viewing public is snoozing on this.

Of course, it is so ridiculous when you hear manufacturers proclaim these ridiculous patented ""systems"" with trademarked names as exclusive options (e.g., ""...the only car in its class with 'Stabilitrak 2.0.'"").

Wife: ""I just don't see why we should pay $1500 more for this car compared to the Acura.""

Husband: ""Yeah, but does the Acura have 'Stabilitrak 2.0?' I don't think so!""

Wife: ""Oh, that's right! That's a good call. Where do we sign?""

How plausible is this?"
46	July 16, 2000 3:31PM	bdreggors	"...""Best in class"" crap. Infiniti's I30 (expensive Maxima) has the most powerful V-6 (227hp) in its class, which is entry-luxury or something like that. But what about the Buick Park Avenue with 240hp? Or the Chrysler 300M with 253hp? Those strike me as entry-luxury ($30-40K).

So is it BS? Sure is, but its not exclusive to any one company.

And one word about the ""Wider-is-Better"" thing. Of the three GM W-Body cars (of which GP is one), which is the widest? The Grand Prix, right? Nope. The Regal? Close...it's the Olds Intrigue!

Another thing that annoys me is this sponsership crap. A Coach Edition Lexus? A Nautica Mercury Villager minivan? Who buys this crap??

Plus, I've noticed that any car is now a sports car if it has a spoiler and the word ""sport"" in its name. And I mean ANYTHING, take the Dodge Caravan Sport for example..."
47	July 17, 2000 4:40AM	rickabt	"I really hate the ad from Mitsubishi in which they cite Car and Driver's choice to name their Galant as the top midsize import above the Accord or Camry; they childishly gloat ""I'm better than you are"" in a tone reminiscent of an overly ambitious, super-competitive playground hoopster ... a hero in his own mind who would wilt under the pressure of real organized competition.

I think the viewing public understands that Car and Driver's awards really mean nothing ... after all, the Chevy Malibu was the ""Car of the Year"" in 1998, but long-term tests from other mags have proved that this car is far worse than average.

I wonder what kind of people actually respond positively to this ad. Mitsubishi is probably marketing itself to sufferers of ""small-man syndrome."""
48	July 17, 2000 2:54PM	bdreggors	"I actually got a laugh out of it (since I'm not a fan of the Accord or Camry), but I don't put much stock in it. Personally, I'm getting sick of these superlatives.

Mitsubishi is the fastest-growing Japanese car company.

Toyota Camry is the best-selling car in America/F-150 the best-selling truck.

Honda Accord is the most stolen car in America.

Only one of these makes a difference to an educated consumer. I'm also sick of the ""Car of the Year"" awards. The Lincoln LS was undeservedly the car of the year. Personally, a car like the S-Class or DeVille deserved to be. They set the standard in their respective fields while the LS is a Lincoln catch-up.

Just a little reminder; the Chevy Caprice and the Renault Alliance were also Cars of the Year..."
49	July 17, 2000 6:09PM	freddy_k	They are all BS. Anyone who bases their final decision on 'car of the year' or any similar such awards are only fooling themselves.
50	October 29, 2008 10:25AM	crkeehn	Nope the best commercial ever was the herding cats commercial. Had nothing to do with cars.
51	October 29, 2008 11:25AM	urnews	The pregnant VW commercials are the pits. Just plain dumb.
52	November 5, 2008 2:08PM	lemko	"TV Watchers Complain:

http://www.philly.com/philly/hp/news_update/20081105_ap_saveusfromsavedbyzerotvw- atcherscomplain.html"
53	November 5, 2008 2:16PM	ateixeira	Awful. Hurts my ears.
54	November 5, 2008 3:54PM	fintail	"Nice to see I am not alone in my annoyance.'

I wonder if we'll see those bastardly pretentious Lexus ads this Christmas season,. now that much of the McMansion set isn't so cash flush."
55	November 6, 2008 8:45AM	ateixeira	"I think the newer luxury brands may take the biggest hit. I'm talking about Lexus, Infiniti, and Acura.

Those are the folks that will realize they no longer have the home equity they thought they did and bring their purchases back down to earth."
56	November 6, 2008 10:47AM	lemko	"The way things are, it might be ""The December You'd Rather Forget"" sponsored by Jack Daniels in conjunction with Smith & Wesson.

You'd see a suicidal bankrupt yuppie with a five day beard wearing a rumpled Armani suit in a trashed empty house with all the copper wiring and plumbing pulled out, ""The LS460 I bought last year was repossessed, my trophy wife left me in the EX330 on which I still owe 49 months of payments, and my house is in foreclosure! At least I still got my fifth of Jack and my .357 Magnum! It'll be a December THEY'LL remember!"" as he gestures to his once-privileged children and the police and fire personnel outside the shell of his McMansion."
57	November 6, 2008 11:53AM	fintail	That might make for an onslaught of even more annoying ads as sales plunge and manufacturers/dealers become even more desperate. Especially now that the volumes of sweetheart leases aren't really going to exist to move more volume. Maybe MB and BMW can compete with Lexus in a materialistic ad campaign...vehicles with red ribbons and smiling trophy wives in front of and inside pretentious faux tuscan villas and ridiculous fake craftsman abodes.
58	November 6, 2008 11:55AM	fintail	"Now that's the lemko wit :P

I wonder how the repo game is going right now, especially on the east coast with the banks and shady finance companies going belly up."
59	November 6, 2008 1:25PM	ateixeira	Don't hold back for our sake.
60	November 6, 2008 2:05PM	fezo	I have to say that the saved by zero ads may have gotten as anoying as the annual Toyotathons used to be.
61	November 6, 2008 2:08PM	kyfdx	I'd get pregnant and buy a Routan, just to get the Toyota ads to go away... :surprise:
62	November 7, 2008 10:20AM	ateixeira	"Speaking of the Routan...I went to test drive a Miata and they had a VW dealer next door. I saw a Routan outside.

The Monroney listed alloy wheels as an option - yet it had steel wheels with wheel covers.

Strangest mistake I've ever seen. It clearly had cheap plastic wheels covers - on all 4 corners. Bizarre."
63	November 11, 2008 1:40PM	xrunner2	"I wonder if we'll see those bastardly pretentious Lexus ads this Christmas season,. now that much of the McMansion set isn't so cash flush.

What? Those are great ads. Kind of touching, especially if sipping eggnog while watching. Bet you can hum or whistle the ad melody. Those ads are now part of Christmas tradition just like Santa Claus.

Cadillac and Infiniti had good Christmas ads also.

People that buy Lexi still have the cash to buy for their wives (or husbands) as a gift.

Will GM have the ad money to do Christmas Cadillac ads?"
64	November 11, 2008 2:16PM	fintail	"Touching? Hollow materialism and a little ostentatiousness...touching? Madison Avenue worked you over!

Lexi customers no doubt are feeling some financial pains right now too...investments depreciated, upside-down in McMansion financing, maybe shaky job security for an empty suit, and so on...

GM seems to have plenty of ad money, at least right now."
65	November 11, 2008 3:40PM	xrunner2	"Touching? Hollow materialism and a little ostentatiousness...touching? Madison Avenue worked you over!

Where's your spirit? And patriotism....to spend. Probably also called Heartbeat of America; Baseball, Apple Pie and Chevrolet hollow."
