,username,location,text
77,jaybrigitte,,"@DrOz Is Dr. Oz palling around with Turkish terrorist leader cleric Gulen whom Gen. Flynn tried to kidnap? Journalists should look into this. 
According to this article Dr. Oz helped terrorist cleric to escape Turkey. #PASen #PaSenate https://t.co/MQLHL78NdC"
78,JoshKraushaar,"Washington, DC","NBC News’ Dasha Burns: “In small talk before my interview [with Fetterman], it wasn’t clear he understood what I was saying.” #PASEN"
79,kth1231,USA,"@Robingnj @hjcdarkhorse1 @NYMag @JohnFetterman @rtraister #Vote💙PA
#ProtectPAVote(rs)
#Reject party that betrayed PA  #j6 w/alternate  electorates ready, as gift to loser
seated #PASen #Mastriano did nothing  to protect.  #Oz transplant of #DisgracedExPresident seeking power/influence by any means necessary
Both wish to restrict rights"
80,AndreaKatSTL,"St. Louis, Missouri","I don't understand.

@JohnFetterman needs a ""transcription program on his computer""?   

Is English his 2nd language?

#PASEN https://t.co/FVHim8VQEQ"
81,Paisley4USA,USA,"HELL NO THANKS to this PRO-CRIME nominee! John Fetterman is DANGEROUS to threaten our America. NO THANKS!
🖕🏽🖕🏽🖕🏽🖕🏽🖕🏽

That's why I have officially endorsed #mainstream #principled nominee Mehmet Oz for #PAsen.
#Nonpartisan #Independent #CountryOverParty https://t.co/WVdm9OIGVm"
82,chicagoanthony_,"Chicago, IL",Its reprehensible that democrats continue to throw mentally challenged (declining) people to be in charge. People deserve more than leftist puppets. #PASen Fetterman already is a fraud communist and now he's not even fully cognitive https://t.co/WeW9RrWs7M
83,jaybrigitte,,"@DrOz Is Dr. Oz palling around with Turkish terrorist cleric Gulen whom Gen. Flynn tried to kidnap? Journalists should look into this. 
According to this article Dr. Oz helped terrorist cleric to escape Turkey. @JohnFetterman #PASen #DrOz https://t.co/OouCDCUc6c"
84,Malvenue,"Tennessee, USA","Attn #PA 
#PASen 
#PaSenate https://t.co/EcHWuvoSS3"
85,kth1231,USA,"Vulnerability of #PA…#MehmetOz retired M.D. wishes #PASen seat but does not cheer PA same as #Fetterman 
#Oz uses med bkgrd, albeit tainted by shady products. As US Senator, Oz will not be your Dr. He will push laws that could impact more than your health.
#RejectExtremistOz https://t.co/8QY1j0Az7L"
86,imau2fan,Oakdale PA,#PASen https://t.co/fKssX5X3ZG
87,Saabio31,,"Some people don’t WANT my vote counted. This is the new Republican Party for you, brought to you by wackos like @droz #PASen https://t.co/V4a5NnHMIt"
88,jaybrigitte,,"Is Dr. Oz palling around with Turkish terrorist leader cleric Gulen whom Gen. Flynn tried to kidnap? Journalists should look into this. 
According to this article Dr. Oz helped cleric to escape from Turkey to the US. @maddow @Lawrence @JoyAnnReid @JohnFetterman #PASen #DrOz https://t.co/XUKEmblizp"
89,PoliticsPA,"Harrisburg, PA","Ad Watch: @MajorityPAC releases new 30-second ad - ""Cruel""

The ad campaign will reach voters statewide beginning Wednesday as part of SMP’s over $33 million television investment in state.

Discretion is advised. #PASen 

https://t.co/YjdOWm5qLy"
90,jaybrigitte,,"Is Dr. Oz palling around with Turkish terrorist cleric Gulen whom Gen. Flynn tried to kidnap? Journalists should look into this. 
According to this article Dr. Oz gave recommendation for cleric to escape Turkey for treatment in US. @maddow @Lawrence @JohnFetterman #PASen #DrOz https://t.co/yGTeLomNIK"
91,Tigergrad85,,"Anyone can see that #Fetterman is not fit for office. 
#PASen https://t.co/uIxjGctITW"
92,CATargetAlt,"The Cloud, CA","NEW FEC F24
FF PAC
$1,703,464-&gt; #PASEN
https://t.co/Jk9NDZTGgK https://t.co/GZki0S6Inp"
93,AndStrats,VA,"""Closed captioning was required for the interview so #Fetterman could better understand and respond to the questions, but Burns said once the Senate candidate is able to read a question he’s more able to respond.""

#PASen https://t.co/Bv0XXBZAQY"
94,seaandsand78,,How can we even consider sending someone like this to the Senate. This is legitimately insane #PASen https://t.co/lmx5iFX7O5
95,American_Bridge,America,".@DougMastriano is squabbling with #PASen nominee @DrOz — saying that the ""Senate race cannot affect your life in Pennsylvania"" and that voters should focus on #PAGov instead.

The @Wawa v. @Sheetz rivalry has nothing on these terrible statewide candidates. https://t.co/uuS7djtF0L"
96,LeftoversRfine,Iowa born,"@DrOz 🚫Do NOT vote for Dr Ooze, the FoxLiars peddler. Pennsylvanians: He does NOT know you.

✅VOTE for PRO democratic Pennsylvanian @JohnFetterman 
#PASen"
97,CATargetAlt,"The Cloud, CA","NEW FEC F24
INDIVISIBLE ACTION
$11,565-&gt; #PASEN
https://t.co/uhRQH62a4Y https://t.co/n1mUWV0IQG"
98,FamilyEconomyPA,,"@JohnFetterman Dr. Oz said all abortions are ""murder."" @JohnFetterman will defend a woman's right to choose. #PASen https://t.co/Ijzt2dY6Ue"
99,FamilyEconomyPA,,@JohnFetterman @JohnFetterman will defend a woman's right to choose. Vote Fetterman for Senate on November 8th. #PASen https://t.co/vdXN9ZUpzh
100,FamilyEconomyPA,,@JohnFetterman Republicans are counting on Oz to pass their nationwide abortion ban. @JohnFetterman will defend a woman's right to choose. #PASen https://t.co/qhXgba2BdU
101,FamilyEconomyPA,,"Politicians like Dr. Oz shouldn’t control women’s bodies. @JohnFetterman would protect the right to choose in Pennsylvania and oppose a national abortion ban. On November 8, the choice is ours and we’re supporting John Fetterman. #PASen

WATCH⬇️ &amp; SHARE🔁"
102,WPSU,Central Pennsylvania,"Ahead of midterms, there's a focus on Senate races in Pennsylvania and Nevada 

#PaSen 

https://t.co/CW9427vQNu"
103,CATargetAlt,"The Cloud, CA","NEW FEC F24
STAND AMERICA PAC
$23,574-&gt; #GASEN #VA07 #OHSEN #PASEN #VA02 #NC01 #NCSEN
https://t.co/BwVNFcDV2J https://t.co/s0pJMkeCe1"
104,FamilyEconomyPA,,"🚨 NEW: ""Republicans are counting on Oz to pass their nationwide abortion ban."" 🚨

Today we launched a ✨$1 MILLION digital ad campaign✨ highlighting that Dr. Oz called abortion 'murder' at any stage of pregnancy. 

https://t.co/nyE4U7lWB6 #PASen"
105,JoshKraushaar,"Washington, DC","Notable #PASEN ad from Fetterman: In trying to make pitch to working-class Republican voters, Fetterman takes aim at Mitch McConnell:  https://t.co/CZSlQmYcjJ"
106,nickitellem,"Los Angeles, CA",Jon Fetterman has become the biggest diamond in the rough. Nobody is discussing how he could become a bold champion for the disabled community in the US Senate. We need more people like this in there to support our Senators like Tammy Duckworth. #PASen https://t.co/LQmKwkKhlU
107,DanKEberhart,"Phoenix, AZ",John Fetterman is just another soft-on-crime radical Democrat. #PASen https://t.co/jaQdYyanGz
108,RussOnPolitics,"New York, NY/Cruise Ship","John Fetterman: “I don’t think it’s going to have an impact. I feel like I’m gonna get better and better — every day. And by January, I’m going to be, you know, much better. And Dr. Oz is still going to be a fraud.” 

Well said!

https://t.co/JxH7xsuuyh

#PASEN https://t.co/QPTmz5VE5g"
109,EricMGarcia,"Washington, DC",I should say that @DashaBurns did a really great job of making an interview accessible for her subject when she did this interview with @JohnFetterman. #PASen  https://t.co/UWjz7fxF7Q
110,merica,"Washington, D.C.","A Democratic super PAC is about to spend millions on ads that attack #PASen nominee Mehmet Oz over allegations that medical studies he oversaw led to animal abuse.

The first just aired during the Phillies v. Braves game and more are to come.

Our story: https://t.co/KylNLoNHIw"
111,weekoldsushi,,"You don't throw a Hail Mary from the 2-yard line.

Ridiculous, disingenuous story concept that could have only been written by a Democrat hack.

#FettermanForSenate #FettermanPA #DrOz #PASen 

Dr. Oz's Hail Mary: Get Black Voters to Turn on Fetterman  https://t.co/DW1W5CiPpL"
112,DashaBurns,"New York, NY","EXCLUSIVE #PASEN: I sat down with Dem PA Senate Candidate John Fetterman for his first in-person interview since his stroke. 

We talked about his health, abortion, crime and more. Catch some of our conversation tonight on @NBCNightlyNews @NBCNews 

 https://t.co/FyFTubAKvh"
113,ArthurSchwartz,"Texas, USA","John Fetterman on criminals evading arrest: “If they’re running away, arrest them another day.” #PASen https://t.co/i2yRuxMFGN"
114,OnTaskDemocrat,"Pennsylvania, USA","Thought to myself, if they actually put an 'Oz kills Puppies' commercial on the air we know the Fetters are desperate 

Just saw that very commercial during the #Phillies game

It's panic time #PASen https://t.co/5rrT8K3GtJ"
115,NBfromLB,,Unfortunate Fetterman is recuperating from a stroke but based on this interview he is clearly not ready at this time to serve in the Senate.  #PASen #Fetterman https://t.co/SGeFPE3YBh
116,StarCoreOne02,Earth-Three 🇺🇸🇺🇸🇺🇸🇺🇸,MSDNC makes the case Fetterman is too incompetent to be a senator. #PAsen https://t.co/1LOIR831mY
117,TomLehmanWGAL,"Harrisburg, PA","Meantime, Acting @PAStateSec Leigh Chapman says #Pennsylvania counties will still be expected to count undated ballots, citing a Commonwealth Court ruling on the matter (a case itself that referenced the just-overturned ruling). 

@WGAL #Election2022 #PASen #PAGov https://t.co/VFxBk21S34"
118,RC_Smokes,,It should come as a surprise to absolutely nobody that Fetterman’s staff is chalk full of socialists who hate the police. This story needs more coverage. #pasen https://t.co/RC5zHHvEDQ
119,TomLehmanWGAL,"Harrisburg, PA","The U.S. Supreme Court on Tuesday threw out a lower court ruling that had allowed the counting of undated mail-in ballots in three states, including #Pennsylvania. @WGAL 

#Election2022 #PApol #PASen #PAGov 

https://t.co/Av4qSFA5jc"
120,MichaelLaRosaDC,"Washington, DC","Yikes. When you're attacking a candidate's staff instead of the candidate, you absolutely know you are going to lose.  #mayday #pasen https://t.co/22uiwAZYsI"
121,ANCA_DC,"Washington, DC","#PASen candidate @JohnFetterman recognizes the #Armenian #Genocide... in the tradition of generations of proud Pennsylvanians who gave selflessly to save at-risk Armenians.

@DrOz refuses to recognize the Armenian Genocide... in the tradition of Turkish dictator Recep Erdogan. https://t.co/R6yBPxmfcG"
122,lxeagle17,"Berkeley, CA","To put into perspective how widely watched it will be, the Fetterman/Oz #PASen debate on October 25th will be the most watched event in PA since the Eagles/Cowboys game on October 16th and will remain the highest-rated TV event until the Eagles/Steelers game on October 30th."
123,TheJack91,"Philadelphia, PA","""A banner flew over Philadelphia Tuesday morning warning voters to “cover up” their mail-in ballots in the provided secrecy envelopes for the midterm election.""

Read the latest about @PADems's ""Don't Be Caught Naked"" campaign: https://t.co/ZG6bnUfx0D #PASEN #PAGOV"
124,ItsThatKidLex,Just a fall from grace,"This is the winning combination. @JohnFetterman @JoshShapiroPA 
#VoteBlue 
Send him back to Oz. MastriaNO.
#PASen #pagov #VoteBlueToSaveAmerica #johnfetterman #joshshapiro #FettermanForSenate https://t.co/wX3PZV36vs"
125,dillon66,New York,"@katiasportela @JohnFetterman #BlueLivesMatter  The next John Fetterman staffer is a self-proclaimed ""socialist"" and #DefundThePolice activist
@DrOz
 has been relentlessly focusing on rising crime; meanwhile, Fetterman's campaign is full of anti-cop activists in #PASEN https://t.co/erlGWzIPt8"
126,MatthewFoldi,Maryland,"The national press corps is too busy writing puff pieces on John Fetterman’s “vulnerability” to spend 5 minutes to do basic due diligence on how utterly insane his campaign staff for #PASEN is

Why? https://t.co/eFpVO2MUIP"
127,MatthewFoldi,Maryland,"Latest thread of John Fetterman campaign staff backing #DefundThePolice is here and will be updated

#PASEN

(5/x) https://t.co/eFpVO2MUIP"
128,MatthewFoldi,Maryland,"More express #DefundThePolice advocacy from John Fetterman's campaign team in #PASEN 

(4/x) https://t.co/915NYglfFu"
129,MatthewFoldi,Maryland,"John Fetterman's staff mourning that ""so many ppl support the pro cop candidate 😭"" #PASEN 

(3/x) https://t.co/6wjUNMGJ2o"
130,MatthewFoldi,Maryland,"Eschewing platforms on public safety and instead focusing on ""defund"" is a common theme amongst John Fetterman's #PASEN staff

(2/x) https://t.co/5JCa1cquNP"
131,DavidABergstein,,"📨📨📨 ✈️

NEWS: A banner flew over Philadelphia Tuesday morning warning voters to “cover up” their mail-in ballots in the provided secrecy envelopes for the midterm election. 

https://t.co/oBNfCqMuQ0 #PASEN"
132,MatthewFoldi,Maryland,"New from me:

The next John Fetterman staffer is a self-proclaimed ""socialist"" and #DefundThePolice activist

@DrOz has been relentlessly focusing on rising crime; meanwhile, Fetterman's campaign is full of anti-cop activists in #PASEN 

(1/x) https://t.co/L9ntGd4v3h https://t.co/Ah86lg2Gn7"
133,Burgwinkle,,Democrats launch naked ballot campaign ahead of midterms https://t.co/Qm2uglZeoP via @couriertimes #PASen
134,PoliticsPA,"Harrisburg, PA",Senate Ad Watch: ⁦@JohnFetterman⁩ campaign and DSCC release new ad - “That’s The Point” #PASen https://t.co/aCvPToHYu3
135,SelfRuling1,"Pennsylvania, USA","@DrOz Guess Oz is not serious about reducing crime and stopping this discriminatory practice.
#pasen #Philly #Pennsylvania 
What You Need to Know About Cash Bail and Crime Rates https://t.co/QH89IHkb9O"
136,jjabbott,PA,".@JohnFetterman will keep getting better. 

Dr. Oz will always be a cruel, self-serving fraud. #PASEN https://t.co/dx5gwg5c9m"
137,wrmcduff,"Philadelphia, PA","The #PASEN debate on Oct. 25 will last an hour, Nexstar has announced.

Oz pushed hard to extend it to 90 minutes, citing potential delays due to the use of closed captioning for Fetterman. But 60 minutes it is."
138,OkThxByeNext,,"Hey @AJentleson fun fact about the latest article about #PaSen 

Personally, I think a retraction is in order. https://t.co/4EucGytB3V"
