,username,location,text
36,rich_hedge_fund,Earth,"Five states had proposals to #legalize recreational #marijuana in Tuesday’s #election. #Voters in #Maryland and #Missouri #approved the #legalization, while similar proposals were rejected in #Arkansas, North #Dakota, and South Dakota. #Congress has also voted to legalize it."
37,robport,"North Dakota, USA","@ejlundegaard I agree, failing to legalize marijuana was a mistake for North Dakota."
38,coinanthony1,,"Arkansas voters, however, rejected the legalization of marijuana on Election Day, the Associated Press projected. 
North Dakota defeated its ballot measure to legalize marijuana as well."
39,Fleetwing,"Mubarak Al Kabeer, Kuwait","Arkansas
Maryland
Missouri
North Dakota
South Dakota
 
Ballot measures to legalize recreational marijuana use will fail in three states and pass in two, as momentum has grown nationwide to push for lifting penalties once associated…https://t.co/8R5WKrnU6m https://t.co/lgq9fABLL4"
40,Tampa_Joe_813,"Tampa, FL","S/O to Missouri and Maryland residents who voted to legalize recreational Marijuana! 

North Dakota, South Dakota, and Arkansas can get fucked."
41,Athens4Cannabis,"Athens,Ga",maryland-votes-to-legalize-recreational-marijuana-as-arkansas-and-north-dakota-vote-no-heres-how-cannabis-ballot-measures-are-faring ⁦@Athens4Cannabis⁩ #love #amazing #beautiful #lifestyle #motivation #business #work #entrepreneur #peace #money #vote https://t.co/gpZw5DolnH
42,420growlife,"Riverside, CA","#420friendly #weedlover #thc #KahliBuds #420GrowLife

North Dakota voters rejected a ballot initiative to legalize marijuana on Tuesday.

The loss for activists follows the defeat of an earlier cannabis legalization measure in 2018.

Results tracker spon… https://t.co/c8ky8OnviG"
43,420growlife,"Riverside, CA","#420domme #420friently #KahliBuds #420GrowLife

North Dakota voters rejected a ballot initiative to legalize marijuana on Tuesday.

The loss for activists follows the defeat of an earlier cannabis legalization measure in 2018.

Results tracker sponsored by 

New Approach ND …"
44,Veronica2twit1,Clarkston WA,"The push to legalize marijuana for recreational use in deep-red states failed on Tuesday as voters in Arkansas, North Dakota and South Dakota rejected ballot measures on the issue. In Maryland and Missouri, voters approved legalization measures. https://t.co/afsduWWBKp"
45,EllenYChang,"Houston, Texas","What happened Arkansas and North Dakota?!

Missouri And Maryland Vote To Legalize Recreational Marijuana As Arkansas And North Dakota Vote No—He... via @forbes https://t.co/rzS6c5KN4B"
46,Deschedule420,South Florida,"Mid-term votes to legalize recreational adult-use #marijuana in deep-red states failed on Tuesday, as voters in Arkansas, North Dakota &amp; South Dakota rejected such ballot measures.

But Maryland &amp; Missouri voters approved such adult-use #cannabis measures.
https://t.co/QGDkP9eO25 https://t.co/7vy8PhdNKy"
47,JaxonJackrabbit,"St Paul, MN","Maryland and Missouri voted to legalize marijuana while North Dakota and Arkansas voted against.

Why is it always the states far away from me? &gt;:("
48,heimolepuschitz,Wien,"Auch interessant: The push to legalize marijuana for recreational use failed as voters in Arkansas, North Dakota and South Dakota rejected ballot measures on the issue. In Maryland and Missouri, voters approved legalization measures. #Midterms2022 https://t.co/FT7NyCGXF2"
49,TownyMontana,Scarface,"Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missouri, CNN projects https://t.co/mWBXXsQl2h"
50,MinnCityMN,Minnesota,"Fox News : North Dakota, Arkansas voters strike down measures to legalize recreational marijuana https://t.co/yDENZyzURP"
51,ia_diego,mexico ,"CNN: Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missouri, CNN projects https://t.co/sSYvz4WZbh (via https://t.co/lgfjwGQ43e )"
52,xrandomshoutout,"West Hollywood, CA","CNN: Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missouri, CNN projects https://t.co/oXSX3tnIK5"
53,ViralCuts,,"Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missouri, CNN projects https://t.co/wi1v5Ykdes"
54,MichaelJElston,Tampa Bay Area,Maryland &amp; Missouri have voted to legalize recreational marijuana. That effort failed in Arkansas &amp; North Dakota.
55,gl0bal_feed,,"Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missou... —CNN International
https://t.co/dv7x7FiXqU"
56,cnni,Everywhere,"Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missouri, CNN projects https://t.co/uNIQTxuuK5"
57,CNNPolitics,"Washington, DC","Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missouri, CNN projects https://t.co/fEXVWltYGM"
58,TownyMontana,Scarface,"Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missouri, CNN projects https://t.co/mWBXXsyJDH"
59,TownyMontana,Scarface,"Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missouri, CNN projects https://t.co/mWBXXsQSRP"
60,CNN,,"Ballot measures to legalize recreational marijuana use will fail in Arkansas, North Dakota and South Dakota, and pass in Maryland and Missouri, CNN projects https://t.co/bMKApOc3Aq"
61,newsworldpress,,"North Dakota, Arkansas voters strike down measures to legalize recreational marijuana - Newsworldpress @ https://t.co/MHIUpLyvsd https://t.co/dnPc7bnW6i"
62,HowdyGordie,USA,"Voters in Maryland and Missouri voted to legalize marijuana for recreational use. Voters in North Dakota, South Dakota and Arkansas voted to keep it illegal. https://t.co/VzASTamET9"
63,miweintraub83,"Bogotá, D.C., Colombia","Seems like Maryland and Missouri vote to legalize recreational marijuana, while Arkansas, North Dakota, and South Dakota reject that possibility.

https://t.co/FZMmHIgrQZ https://t.co/Aq0fcJJNrY"
64,scottlo93047584,,Maryland Votes To Legalize Recreational Marijuana As Arkansas And North Dakota Vote No—Here’s How Cannabis Ballot Measures Are Faring https://t.co/sv3WcMfH4B
65,Flower_Power_67,,"Maryland &amp; Missouri Vote to Legalize Marijuana
Arkansas &amp; North Dakota Vote against Legalization of Marijuana
https://t.co/yAlabPYtq5"
66,taylormannix103,"Cape Elizabeth, ME","South Dakota and North Dakota voters reject proposal to legalize recreational marijuana in their states. 

Actually surprised by that, what the hell do people do in the Dakotas? Feel like the legalization of a plant could help with morale in that part of the country!"
67,businesshalausa,us,Missouri And Maryland Vote To Legalize Recreational Marijuana As Arkansas And North Dakota Vote No—Here’s How Cannabis Ballot Measures Are Faring https://t.co/qjvVuwHtmY
68,icrossdavid,,"Missouri And Maryland Vote To Legalize Recreational Marijuana As Arkansas And North Dakota Vote No—Here’s How Cannabis Ballot Measures Are Faring https://t.co/xg9xDNz3hS 
.
.
.
.
.
#binaryoptions #bitcoin #bitcoinmining #blockchain #btc #crypto #cryptocurrencies #cryptocurrency…"
69,FastNewsWorld2,,"North Dakota, Arkansas electorate strike down measures to legalize leisure marijuana https://t.co/mKiHmGYE8W"
70,dopobej328,,Missouri and Maryland Vote to Legalize Recreational Marijuana While Arkansas and North Dakota Vote No — Here’s How Cannabis Voting Measures Are Going https://t.co/KzLVDTMDge
71,EUhealt,Brooklyn NY,Maryland Votes To Legalize Recreational Marijuana As Arkansas And North Dakota Vote No—Here’s How Cannabis Ballot Measures Are Faring https://t.co/Crte3LPcWZ
72,jacob_fischler,"Portland, OR","Arkansas and North Dakota voters rejected ballot measures to legalize marijuana. Very rare for these referenda to lose.

Here's the @ArkAdvocate story on the Arkansas vote.

https://t.co/LMXQOUErmW"
73,TIME,,"The push to legalize marijuana for recreational in deep-red states failed as voters in Arkansas and North Dakota rejected ballot measures on the issue. A majority of voters in South Dakota also looked poised to vote down legalization #Election2022 
https://t.co/Ac98Bjggq3"
74,politic_talks,,"North Dakota, Arkansas voters strike down measures to legalize recreational marijuana https://t.co/jeSnH7IUoq  - @politic_talks #Politics #Political"
75,PoliticalCrapp1,,"North Dakota, Arkansas voters strike down measures to legalize recreational marijuana https://t.co/ZaNMltpqCA"
76,kylejaeger,"Sacramento, California","Big night!

Maryland and Missouri became the 20th &amp; 21st states to legalize marijuana for adult use. 

Arkansas, North Dakota and South Dakota voters rejected legalization initiatives. 

Still waiting for a final call on Colorado, where psychedelics reform is narrowly ahead."
77,Daily_News_Off,Etats-Unis,"North Dakota, Arkansas voters strike down measures to legalize recreational marijuana
#123INFO
https://t.co/Ds9i0tCoFZ"
78,AndyVermaut,"Diksmuide, België","Andy Vermaut shares:North Dakota, Arkansas voters strike down measures to legalize recreational marijuana: The proposals to legalize recreational marijuana in North Dakota and… https://t.co/pjvt8wrDZV Thank you. #ThankYouJournalistsForTheNewsWeGetFromYou #AndyVermautThanksYou https://t.co/VIFwYSNJKk"
79,Global_Courant,,"North Dakota, Arkansas voters strike down measures to legalize recreational marijuana
https://t.co/2n1wfLCQeE"
80,foxnewspolitics,"Washington, D.C.","North Dakota, Arkansas voters strike down measures to legalize recreational marijuana https://t.co/RNppdGKv4s"
81,HLStockenstrom,"England, United Kingdom",Maryland Votes To Legalize Recreational Marijuana As Arkansas And North Dakota Vote No—Here’s How Cannabis Ballot Measures Are Faring - Forbes https://t.co/hkE2NycNOB
82,thewhateverguy3,"Thomasville, Al 36784","North Dakota Voters Reject Marijuana Legalization Ballot Initiative.
 North Dakota voters rejected a ballot initiative to legalize marijuana on Tuesday.
The loss for activists follows the defeat of an earlier cannabis legalization measure in 2018.

  wi https://t.co/YnJzCyieg3"
83,cicada_news,,"BREAKING: North Dakota rejects proposal to legalize marijuana

#Election2022 #ElectionNight"
84,BNODesk,Worldwide,BREAKING: North Dakota rejects proposal to legalize marijuana
85,btcnasia,,"Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved legalization. Similar measures also were on the ballot in Missouri and South Dakota. https://t.co/ogIucPjxw4 @AP"
86,The_Real_Fly,United States,"Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved legalization"
87,AP,Global,"Voters in North Dakota and Arkansas have rejected measures to legalize marijuana, while those in Maryland have approved legalization. Similar measures also were on the ballot in Missouri and South Dakota. https://t.co/V04JRGri3H"
88,AwutarMedia,"Washington, USA",Arkansas and North Dakota refuse to legalize marijuana https://t.co/emMHgCV924
89,themaxburns,New York,"Maryland and Missouri on track to legalize marijuana, while North Dakota, South Dakota and Arkansas are on track to reject legalization."
90,thericeman,"Brooklyn, NYC",North Dakota voters have (for the second time) rejected a proposal to legalize adult possession and use of marijuana.
91,natsfert,"District of Columbia, USA","@politico 🚨Key measure alert: @politico calls that NORTH DAKOTA voters have REJECTED a measure to legalize recreational marijuana for everyone over the age of 21.

https://t.co/uLvOoEDTQq https://t.co/PR7YRxn3km"
92,tomangell,patreon.com/marijuanamoment,"JUST NOW: North Dakota voters rejected a ballot measure to legalize marijuana.

The loss for cannabis reform advocates comes after an earlier 2018 legalization initiative was also defeated.

https://t.co/1Ggp6coTwA https://t.co/oYQNxKEWmL"
93,MarijuanaMoment,,North Dakota Voters Reject Marijuana Legalization Ballot Initiative: The loss for activists follows the defeat of an earlier measure to legalize cannabis in 2018. https://t.co/iAGaCfimpB
94,NCSLorg,"Denver, CO | Washington, DC","#NCSLelections Update | Arkansas rejects an initiative to legalize recreational marijuana. Similar measures trail in North Dakota and South Dakota.

#Elections2022 #Midterms2022"
95,aprilbaumsaway,Fargo,It seems the measure to legalize marijuana in North Dakota may fail. No votes have 55% of the vote with 94% of the state reporting.
96,jeremyjturley,"Bismarck, ND","With nearly all votes counted, a North Dakota measure to legalize marijuana is down by a 10-point margin. It appears very unlikely to pass (even by the admission of its supporters). #Election2022  https://t.co/fezdS0GD6l"
97,SanhoTree,Mordor on the Potomac,"Maryland becomes the 20th state to legalize marijuana for adult use https://t.co/9oCF70zSom Measures also were on the ballot in Arkansas, Missouri, North Dakota and South Dakota."
98,isabelleku2025,"Lawrence, Kansas","Sitting on the edge of my seat to see if Arkansas, Missouri, North Dakota, and South Dakota will legalize the use of recreational marijuana. #LegalizeMarijuana #ElectionDay"
99,Janegurleyy,,"Five states: Maryland, Missouri, North Dakota, South Dakota and Arkansas will decide on ballot measures to legalize marijuana for those 21 and older. Stay updated from...

https://t.co/hyFoJrT3uL"
100,WDBJ7,"Roanoke, Virginia","Maryland became the 20th state to legalize marijuana.  Measures also were on the ballot in Arkansas, Missouri, North Dakota and South Dakota. https://t.co/IrxukyjWLz"
101,aprilbaumsaway,Fargo,"63% of the counted counties want term limits, while 60% don't want to legalize marijuana in North Dakota."
102,jeremyjturley,"Bismarck, ND","Measure 2 would legalize the possession and purchase of marijuana for adults 21 and older. In the last decade, 19 states have legalized pot. Will North Dakota join them? Both sides expect a close finish. https://t.co/1a1Pkrd3i0"
103,GunnelsWarren,,"A 4:20 reminder that legalizing marijuana is on the ballot in Maryland, Arkansas, Missouri, North Dakota and South Dakota. Yes, today would be a very good day to legalize marijuana - a policy supported by 69% of the American people."
104,RumsMick,Earth,"Voters in 5 states decide whether to legalize marijuana; Arkansas, Maryland, Missouri, North Dakota and South Dakota  https://t.co/U7Fmf1BqOI"
105,moraffreports,"Front Lines, War on Drugs","Voters in Arkansas, Maryland, Missouri, North Dakota and South Dakota will decide whether to legalize recreational marijuana today: Colorado poised to become 2nd state with legal psychedelics  https://t.co/wFwILF6r4S"
106,aristidexo,LA,"Also two huge things to look at this cycle: North Dakota's Measure 2 and Maryland's Question 4, both of which would legalize marijuana. Should both pass with healthy margins we could see both parties campaigning on further legalization next cycle"
107,Jamie_Burkart,"Bucks County, Pennsylvania","My prediction for which states will vote to legalize recreational marijuana today #ElectionDay

Arkansas ❎
Maryland 🌲
Missouri ❎
North Dakota 🌲
South Dakota ❎"
108,spicco05,"Texas, USA","Arkansas, Maryland, Missouri, North Dakota, and South Dakota are all considering whether to legalize recreational marijuana as 19 other states have. In Colorado, where even the mountains are high, voters will decide whether to legalize psychedelic mushrooms for medical purposes."
109,Annefor2022,"Baltimore, MD 12 yrs","Voters in 5 states — Arkansas, Maryland, Missouri, North Dakota and South Dakota — will decide whether to legalize marijuana.  https://t.co/4zcxJ8FIVY"
110,KentuckyNORML,Kentucky,"Activists in Arkansas, Missouri, North Dakota,  and South Dakota have successfully led campaigns to put a  legalization initiative on the ballot, while lawmakers in Maryland have turned to the voters for guidance with a referendum to legalize marijuana. https://t.co/IkwUY1CCu4 https://t.co/RJ4NUUXmNR"
111,GorJessVSG,,"Arkansas, Maryland, Missouri, North Dakota, and South Dakota are all considering whether to legalize recreational marijuana as 19 other states have. In Colorado, where even the mountains are high, voters will decide whether to legalize psychedelic mushrooms for medical purposes."
112,RutkowskiDr,,"Maryland, Missouri, North Dakota, and South Dakota will consider marijuana-related ballot measures.  If passed, the five states ballot initiatives, will legalize marijuana for those ages 21 and older, joining a growing number of states that in recent years have made moves"
113,voxdotcom,,"This #ElectionDay, voters in five states will decide whether to legalize marijuana to some extent.

Here’s a quick overview of the measures on the ballot in Arkansas, Missouri, Maryland, North Dakota, and South Dakota.

https://t.co/GGBgQ7nYfP"
114,IdahoCapitalSun,"Boise, Idaho","Referendums to legalize recreational use of marijuana are on Nov. 8 ballots in Arkansas, Maryland, Missouri, South Dakota and North Dakota. If approved, those states would join 19 other states and the District of Columbia in allowing use.  https://t.co/8CUvxea4Yr"
115,420growlife,"Riverside, CA","#420domme #420friently #KahliBuds #420GrowLife

North Dakota voters will have an opportunity to legalize marijuana via a ballot initiative on Tuesday. This marks the second time that cannabis legalization is up for a vote in the state following a 2018 defeat.

New Approach N…"
116,420growlife,"Riverside, CA","#420friendly #weedlover #thc #KahliBuds #420GrowLife

North Dakota voters will have an opportunity to legalize marijuana via a ballot initiative on Tuesday. This marks the second time that cannabis legalization is up for a vote in the state following a 2… https://t.co/cDpYRynCSc"
117,thewhateverguy3,"Thomasville, Al 36784","North Dakota Voters Will Decide Fate Of Marijuana Legalization Ballot Initiative After Earlier 2018 Defeat.
 North Dakota voters will have an opportunity to legalize marijuana via a ballot initiative on Tuesday. This marks the second time that cannabis  https://t.co/4OPUDIzX1x"
118,oregonrooted,"Oregon, USA",North Dakota voters will have an opportunity to legalize marijuana via a ballot initiative on Tuesday. https://t.co/fF7o2m0hzW
119,tomangell,patreon.com/marijuanamoment,"North Dakota voters get another chance to legalize marijuana on Tuesday.

An earlier cannabis legalization ballot measure was defeated in 2018.

Track live results from Marijuana Moment once the polls close here:

https://t.co/jml9qmyPqM https://t.co/PYo4GeZ8NE"
120,LegalizeND2020,"Fargo, ND",We've been waiting 4 years for a chance to legalize marijuana in North Dakota. Do not blow this 1 time opportunity Fargo. Yes on Measure 2 https://t.co/H2bgMa3HS2
121,ken_crichlow,Brooklyn,"Referendums to legalize recreational use of marijuana are on Nov. 8 ballots in Arkansas, Maryland, Missouri, South Dakota and North Dakota. If approved, those states would join 19 other states and DC in allowing use, jurisdictions that account for about 44% of the US population."
122,WDAYnews,"Fargo, ND","The North Dakota Medical Association joined organizations representing police, farmers and religious interests in opposing Measure 2, which would legalize recreational marijuana for adults 21 and up.  https://t.co/M1qpntSJc8"
123,inforum,"Fargo, N.D.","The North Dakota Medical Association joined organizations representing police, farmers and religious interests in opposing Measure 2, which would legalize recreational marijuana for adults 21 and up.  https://t.co/oeCDujQcTs"
124,source_nm,New Mexico,"44% of the US population can purchase cannabis legally. Referendums to legalize recreational marijuana are on Nov. 8 ballots in Arkansas, Maryland, Missouri, South Dakota and North Dakota. If approved, those states would join 19 other states and DC: https://t.co/RZPEjTM16x"
125,Pennystockznews,"Delaware, United States","🚨ALERT🚨 Arkansas, Maryland, Missouri, North Dakota &amp; South Dakota voting to legalize recreational marijuana Nov. 8th. Three are expected to pass it - a huge win for cannabis stocks like $CGC $TLRY $HEXO Here’s our plays for them:"
126,marylandmatters,Maryland,"It’s not just Maryland.

Referendums to legalize recreational use of marijuana are also on the ballot in Arkansas, Missouri, South Dakota and North Dakota. https://t.co/D0QGrwvgMK"
127,rollcall,"Washington, D.C.","Cannabis is on the ballot in five states Tuesday: Voters in Arkansas, Maryland, Missouri, North Dakota and South Dakota will choose  whether to legalize marijuana for adults 21 and older.  https://t.co/nQ7yRwajCK"
128,iammelanin,DC,"Marijuana legalization is on the ballot in five states—Missouri, Arkansas, Maryland, North Dakota, &amp; South Dakota. 

Colorado will be voting to legalize  psychedelics and create licensed psilocybin healing centers."
129,PoliticsWolf,,"Marijuana is another big 2022 ballot measure topic: Arkansas, Maryland, Missouri, North Dakota, &amp; South Dakota will all vote on whether to legalize &amp; regulate it. Additionally, Colorado could vote to legalize psychedelics after legalizing marijuana in 2012 https://t.co/pdfBRyfLTX"
130,TranspringHQ,"Shenzhen,China","A voter initiative that would legalize adult-use marijuana in North Dakota has big stakes: proving legalization is a true bipartisan issue and influencing attitudes in the U.S. Senate.

https://t.co/a2wXs1UOS8"
131,todd_harrison,"New York, USA","Small state, big stakes for North Dakota marijuana 

Despite the conservative state’s small constituency, a voter initiative to legalize adult-use marijuana has big implications: proving legalization is bipartisan and influencing attitudes in the Senate.

https://t.co/yJVqCdblem https://t.co/7B4WxZUtY1"
132,rollcall,"Washington, D.C.","Voters in Arkansas, Maryland, Missouri, North Dakota and South Dakota will choose Nov. 8 whether to legalize marijuana for adults 21 and older. https://t.co/qXHAIL7h6m"
